"LTER","Site/Stream.Name","Sampling.Date","Daily.Avg.Q.(Discharge)","Instantaneous.Q.(Discharge)","Stage.Height","Temp.C","Conductivity","Spec.Cond","Turbidity","TSS","VSS","DSi","TN","TDN","DIN","NOx","NO3","NO2","NH4","DON","TP","TDP","PO4","SRP","DOC","TOC","alkalinity","ANC","pH","DIC","Suspended.Chl","Benthic.Chl","Na","K","Ca","Mg","SO4","Cl"
"ARC ","E 05 Inlet South",2002-08-02,NA,NA,NA,NA,NA,13.5,NA,NA,NA,31.2,23.2,NA,0.152,0.152,NA,NA,NA,NA,0.0833,NA,0.0429,NA,778,NA,65,NA,NA,NA,NA,NA,10.9,0.226,52.2,18.5,0.2,0.1
"ARC ","E 05 Inlet South",2002-08-05,NA,NA,NA,6.2,NA,16.5,NA,NA,NA,39.9,24.2,NA,0.102,0.102,NA,NA,NA,NA,0.118,NA,0.0352,NA,1072,NA,87,NA,6.59,1.06,NA,NA,11.1,0.264,59.4,21.4,0.1,0.2
"ARC ","E 05 Inlet South",2002-08-05,NA,NA,NA,NA,NA,15,NA,NA,NA,32.1,22.5,NA,0.187,0.187,NA,NA,NA,NA,0.205,NA,0.0833,NA,821,NA,86,NA,NA,NA,NA,NA,11.6,0.889,56.1,19.8,0.3,0.3
"ARC ","E 05 Inlet South",2002-08-06,NA,NA,NA,NA,NA,12.1,NA,NA,NA,34.9,17,NA,0.134,0.134,NA,NA,NA,NA,0.0694,NA,0.0234,NA,743,NA,61,NA,NA,NA,NA,NA,16.5,NA,47.1,17.9,0.2,0.7
"ARC ","E 05 Inlet South",2002-08-06,NA,NA,NA,NA,NA,11.5,NA,NA,NA,32.8,18.4,NA,0.102,0.102,NA,NA,NA,NA,0.0745,NA,0.036,NA,718,NA,57,NA,NA,NA,NA,NA,15.9,NA,44.3,16.9,0.5,0.4
"ARC ","E 05 Inlet South",2002-08-07,NA,NA,NA,NA,NA,15,NA,NA,NA,33.6,22.3,NA,0.156,0.156,NA,NA,NA,NA,0.106,NA,0.0968,NA,822,NA,88,NA,NA,NA,NA,NA,17.7,NA,59.2,22.8,0.3,1.6
"ARC ","E 05 Inlet South",2002-08-08,NA,NA,NA,NA,NA,13.5,NA,NA,NA,32.9,20.5,NA,0.138,0.138,NA,NA,NA,NA,0.102,NA,0.04,NA,819,NA,73,NA,NA,NA,NA,NA,17.4,NA,52.5,20.2,0.2,0.6
"ARC ","E 05 Inlet South",2002-08-12,NA,78,NA,3,NA,11.4,NA,NA,NA,37.7,19.9,NA,0.122,0.122,NA,NA,NA,NA,0.0832,NA,0.0295,NA,743,NA,56,NA,5.54,137.128,NA,NA,11.9,0.175,41.3,15.9,0.5,0.3
"ARC ","E 05 Inlet South",2003-06-20,NA,2800,NA,6.4,NA,10.3,NA,NA,NA,26.5,24.3,NA,0.268,0.268,NA,NA,NA,NA,0.0932,NA,0.0163,NA,716,NA,50,NA,6.33,146.224,NA,NA,15.5,1.12,34.1,13.7,0.9,0.2
"ARC ","E 05 Inlet South",2003-06-30,NA,NA,NA,7.5,NA,15.3,NA,NA,NA,37.7,25.7,NA,0.426,0.426,NA,NA,NA,NA,0.136,NA,0.0554,NA,839,NA,79,NA,6.06,1.73,NA,NA,14.9,0.942,47,16.9,0.8,0.3
"ARC ","E 05 Inlet South",2003-07-07,NA,58400,NA,6.8,NA,11.8,NA,NA,NA,39.7,26.6,NA,0.212,0.212,NA,NA,NA,NA,0.111,NA,0.0278,NA,982,NA,52,NA,5.99,109.0963,NA,NA,12.2,0.48,45.2,15.7,0.8,0.3
"ARC ","E 05 Inlet South",2003-07-07,NA,NA,NA,NA,NA,11.6,NA,NA,NA,48.2,28.7,NA,0.0856,0.0856,NA,NA,NA,NA,0.112,NA,NA,NA,1093,NA,47,NA,NA,NA,NA,NA,10.9,0.314,46.4,16.3,1.1,1
"ARC ","E 05 Inlet South",2003-07-08,NA,NA,NA,NA,NA,11.4,NA,NA,NA,47.1,31.4,NA,0.0572,0.0572,NA,NA,NA,NA,0.104,NA,NA,NA,1045,NA,45,NA,NA,NA,NA,NA,10.8,0.278,44.4,15.3,1.1,0.3
"ARC ","E 05 Inlet South",2003-07-09,NA,NA,NA,NA,NA,11.7,NA,NA,NA,44.8,27.2,NA,0.194,0.194,NA,NA,NA,NA,0.0989,NA,NA,NA,974,NA,51,NA,NA,NA,NA,NA,11,0.666,44.7,15.5,0.9,0.4
"ARC ","E 05 Inlet South",2003-07-10,NA,NA,NA,NA,NA,12,NA,NA,NA,40.3,27.8,NA,0.0891,0.0891,NA,NA,NA,NA,0.092,NA,NA,NA,943,NA,55,NA,NA,NA,NA,NA,10.2,0.218,46.1,16,0.8,0.1
"ARC ","E 05 Inlet South",2003-07-11,NA,NA,NA,NA,NA,12.3,NA,NA,NA,37.8,30.6,NA,0.0822,0.0822,NA,NA,NA,NA,0.102,NA,NA,NA,926,NA,57,NA,NA,NA,NA,NA,10.3,0.391,45.8,16,0.7,0.2
"ARC ","E 05 Inlet South",2003-07-12,NA,NA,NA,NA,NA,11.9,NA,NA,NA,37.4,33.1,NA,0.0806,0.0806,NA,NA,NA,NA,0.0931,NA,0.0248,NA,935,NA,55,NA,NA,NA,NA,NA,9.9,0.599,44.9,15.4,0.7,0.1
"ARC ","E 05 Inlet South",2003-07-13,NA,NA,NA,NA,NA,11.6,NA,NA,NA,41.8,36,NA,0.0726,0.0726,NA,NA,NA,NA,0.107,NA,0.025,NA,1027,NA,50,NA,NA,NA,NA,NA,10.1,0.459,43.2,14.7,0.4,0.1
"ARC ","E 05 Inlet South",2003-07-14,NA,30100,NA,4.9,NA,11.2,NA,NA,NA,47,24.2,NA,0.201,0.201,NA,NA,NA,NA,0.0979,NA,0.0331,NA,946,NA,48,NA,6.01,92.0835,NA,NA,9.3,0.0488,43.3,14.9,1.1,0.1
